Model,Iteration,b value,Delta_1,Delta_2,"F(G,h)",Epsilon,Uncertainty_1,Uncertainty_2,Lower bound,Loss without Opt Lower bound,Loss with Boostrap,Loss with Theory,Loss Small,Loss Oracle
Neural Net,0,1.1,0.01,0.0005,0.2081,0.0473,0.1101,0.0001,0.0463,0.0758 ± 0.0011,0.24,0.0701,0.286,0.1046
Neural Net,1,1.1,0.01,0.0005,0.2084,0.0473,0.11,0.0001,0.0466,0.0759 ± 0.0012,0.24,0.0702,0.286,0.1046
Neural Net,2,1.1,0.01,0.0005,0.2083,0.0473,0.1101,0.0001,0.0464,0.0754 ± 0.0016,0.24,0.0701,0.286,0.1046
Neural Net,3,1.1,0.01,0.0005,0.2083,0.0472,0.1103,0.0001,0.0464,0.0748 ± 0.0013,0.24,0.0699,0.286,0.1046
Neural Net,4,1.1,0.01,0.0005,0.2086,0.0474,0.1103,0.0001,0.0463,0.0755 ± 0.0012,0.24,0.0699,0.286,0.1046
Neural Net,5,1.1,0.01,0.0005,0.2089,0.0476,0.1103,0.0001,0.0465,0.0758 ± 0.0014,0.24,0.0699,0.286,0.1046
Neural Net,6,1.1,0.01,0.0005,0.2094,0.0481,0.1102,0.0001,0.0466,0.0758 ± 0.0013,0.242,0.07,0.286,0.1046
Neural Net,7,1.1,0.01,0.0005,0.2091,0.0476,0.1101,0.0001,0.0468,0.0757 ± 0.0012,0.24,0.0701,0.286,0.1046
Neural Net,8,1.1,0.01,0.0005,0.2081,0.0471,0.1102,0.0001,0.0463,0.0762 ± 0.0011,0.24,0.07,0.286,0.1046
Neural Net,9,1.1,0.01,0.0005,0.2085,0.0474,0.1101,0.0001,0.0464,0.0757 ± 0.0008,0.24,0.0701,0.286,0.1046
Neural Net,10,1.1,0.01,0.0005,0.2087,0.0476,0.1101,0.0001,0.0465,0.0761 ± 0.0010,0.24,0.0701,0.286,0.1046
Neural Net,11,1.1,0.01,0.0005,0.2089,0.0481,0.1101,0.0001,0.0462,0.0757 ± 0.0010,0.24,0.0701,0.286,0.1046
Neural Net,12,1.1,0.01,0.0005,0.2087,0.048,0.1102,0.0001,0.0461,0.0755 ± 0.0015,0.24,0.07,0.286,0.1046
Neural Net,13,1.1,0.01,0.0005,0.2091,0.0483,0.11,0.0001,0.0463,0.0762 ± 0.0012,0.24,0.0702,0.286,0.1046
Neural Net,14,1.1,0.01,0.0005,0.2085,0.0483,0.11,0.0001,0.0458,0.0760 ± 0.0017,0.24,0.0702,0.286,0.1046
